trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
347,False,"{'a': 0.7068053282577494, 'e': 0.9403971775526684}",20,0,-30.69668748639751,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
348,False,"{'a': 0.7060988762143844, 'e': 0.9400566292602934}",25,0,-114.45650851986225,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
349,False,"{'a': 0.7053931302699544, 'e': 0.9397151409113674}",20,0,-69.660089769054,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
350,False,"{'a': 0.7046880897187134, 'e': 0.9393727128473789}",20,3,-91.68303090846348,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 2}",1
351,False,"{'a': 0.703983753855621, 'e': 0.9390293454107558}",20,0,-53.24845192848783,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
352,False,"{'a': 0.7032801219763409, 'e': 0.9386850389448655}",25,0,-58.67972099740403,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
353,False,"{'a': 0.7025771933772416, 'e': 0.9383397937940146}",20,1,-93.65545388126142,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 1}",1
354,False,"{'a': 0.7018749673553941, 'e': 0.937993610303448}",20,0,-163.02086472408982,"{0: 8, 1: 0, 2: 9, 3: 2, 4: 1}",0
355,False,"{'a': 0.7011734432085724, 'e': 0.9376464888193493}",30,0,-207.46994629185195,"{0: 19, 1: 1, 2: 6, 3: 0, 4: 4}",0
356,False,"{'a': 0.7004726202352524, 'e': 0.9372984296888399}",25,0,-147.06134616884225,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
357,False,"{'a': 0.699772497734611, 'e': 0.9369494332599789}",30,1,-311.9692668979023,"{0: 13, 1: 3, 2: 4, 3: 4, 4: 5}",1
358,False,"{'a': 0.6990730750065257, 'e': 0.9365994998817627}",35,0,-150.18291130774918,"{0: 25, 1: 5, 2: 1, 3: 1, 4: 3}",0
359,False,"{'a': 0.6983743513515737, 'e': 0.9362486299041247}",20,4,-97.46490055279652,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 2}",1
360,False,"{'a': 0.6976763260710311, 'e': 0.9358968236779348}",25,0,-136.97293848803872,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
361,False,"{'a': 0.6969789984668727, 'e': 0.9355440815549994}",30,0,-134.0377659396881,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",0
362,False,"{'a': 0.696282367841771, 'e': 0.9351904038880602}",20,0,-118.69297754576027,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
363,False,"{'a': 0.6955864334990951, 'e': 0.9348357910307951}",30,14,-33.80241300220996,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 0}",1
364,False,"{'a': 0.6948911947429106, 'e': 0.9344802433378168}",20,0,-97.03636171151508,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
365,False,"{'a': 0.6941966508779789, 'e': 0.9341237611646731}",25,0,-235.7868211438292,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 5}",0
366,False,"{'a': 0.6935028012097558, 'e': 0.933766344867846}",25,0,-165.97145869051076,"{0: 12, 1: 3, 2: 6, 3: 3, 4: 1}",0
